nano 2.2.6-3
ncurses 5.9-7
netctl 1.9-1
nettle 2.7.1-1
nfs-utils 1.3.1-1
nfsidmap 0.26-1
nitrogen 1.5.2-2
nmap 6.47-2
notification-daemon 3.14.1-1
npth 1.1-1
nspr 4.10.7-1
nss 3.17.3-2
obbrowser 0.04-1
obconf 2.0.4-1
obdevicemenu 1.7.0-1
obmenu-generator 0.60-1
openal 1.16.0-1
openbox 3.5.2-7
opencollada 20140108-1
opencolorio 1.0.9-2
opencore-amr 0.1.3-2
openexr 2.1.0-1
openimageio 1.4.14-1
openjpeg 1.5.2-1
openresolv 3.5.7-2
openshadinglanguage 1.5.11-1
openssh 6.7p1-1
openssl 1.0.1.j-1
opus 1.1-1
orc 0.4.23-1
otf-inconsolata-pwl-ibx 20130604-4
otf-neris 1.00-5
otf-source-code-pro-pwl-ibx 1.017-4
oxygen-icons 4.14.3-1
oxygen-icons-svg 4.14.3-1
p11-kit 0.22.1-3
p7zip 9.20.1-9
package-query 1.5-2
pacman 4.2.0-5
pacman-mirrorlist 20141217-1
pam 1.1.8-5
paman 0.9.4-5
pambase 20130928-1
pango 1.36.8-1
pangomm 2.34.0-1
paprefs 0.9.10-3
parcellite 1.1.9-1
parted 3.2-1
pasystray 0.4.0-3
patch 2.7.1-3
pavucontrol 2.0-2
pavumeter 0.9.3-6
pciutils 3.3.0-1
pcmciautils 018-7
pcre 8.36-2
perl 5.20.1-1
perl-crypt-passwdmd5 1.40-1
perl-data-dump 1.22-1
perl-digest-sha1 2.13-5
perl-encode-locale 1.03-2
perl-error 0.17022-1
perl-file-basedir 0.03-6
perl-file-desktopentry 0.08-1
perl-file-listing 6.04-2
perl-file-mimeinfo 0.26-1
perl-html-parser 3.71-3
perl-html-tagset 3.20-4
perl-http-cookies 6.01-2
perl-http-daemon 6.01-2
perl-http-date 6.02-2
perl-http-message 6.06-2
perl-http-negotiate 6.01-2
perl-libwww 6.08-1
perl-linux-desktopfiles 0.08-1
perl-lwp-mediatypes 6.02-2
perl-net-http 6.07-1
perl-uri 1.65-1
perl-www-robotrules 6.02-2
perl-xml-parser 2.43-1
pinentry 0.9.0-1
pixman 0.32.6-1
pkg-config 0.28-2
pkg_scripts 2014.12.31-1
plotutils 2.6-6
polkit 0.112-2
poppler 0.29.0-1
poppler-glib 0.29.0-1
popt 1.16-7
portaudio 19_20140130-1
procps-ng 3.3.10-1
psmisc 22.21-2
pstoedit 3.62-6
pth 2.0.7-5
pulseaudio 5.0-1
pulseaudio-alsa 2-3
pyalpm 0.7-1
pygobject-devel 3.14.0-2
pygobject2-devel 2.28.6-11
pygtk 2.24.0-5
python 3.4.2-1
python-xdg 0.25-2
python2 2.7.9-1
python2-cairo 1.10.0-2
python2-gobject 3.14.0-2
python2-gobject2 2.28.6-11
python2-gtkspell 2.25.3-13
python2-lxml 3.4.1-1
python2-numpy 1.9.1-1
python2-pillow 2.6.2-1
python2-reportlab 3.1.8-1
qt4 4.8.6-4
r 3.1.2-1
randrproto 1.4.0-2
raptor 2.0.15-1
readline 6.3.006-1
recode 3.6-8
